"SDS Dogs .","Dog's Call Name","Dog's Registration Name","Dog's Breed","Registered","A Novice Title","A Nov Containers","A Nov Area Search","A Nov Game","P Novice Title","P Novice Containers","P Novice Area Search","P Novice Game","A Advanced Title","A Adv Containers","A Adv Area Search","A Adv Game","P Advanced Title","P Advance Containers","P Advance Area Search","P Advanced Game","A Excellent Title","A Ex Containers","A Ex Area Search","A Ex Game","P Excellent Title","P Excellent Containers","P Excellent Area Search","P Excellent Game","Masters Title","Handler Number"
114,"Mitzi",,"All-American",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,,,,,,,,,,,,,,8
115,"Brody","Wildwinds Winter Solstice","Labrador Retriever",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,119
116,"Valor","Valor von Huffnung","German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,3/19/2016 0:00:00,3/19/2016 0:00:00,,,,,,127
117,"Scout","Little Denmark's Cheyenne","Danish/Swedish Farmdog",1,,,,,,,,,,,,,,,,,,,,,,,,,,86
118,"Suzy","Little Denmark's Sioux Stub Butt","Danish/Swedish Farmdog",1,,,,,,,,,,,,,,,,,,,,,,,,,,86
119,"Jay","Jento's Moving Violation","Border Collie",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,86
120,"Cash","Wannago Man in Black","Whippet",1,,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,5
121,"Starr","Cash Creek Dark Starr of Kentfield","whipet",1,,,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,5
122,"Rowan","Eronit's Celtic Red","Labrador Retriever",1,5/7/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,24
123,"Jenga","Soleil's Dangerously High","Boxer",1,,,,,,,,,,,,,,,,,,,,,,,,,,130
124,"Taboo","Run Amok's Don’t Sayu It","Rottie X",1,,,,,,,,,,,,,,,,,,,,,,,,,,130
125,"Echo","Riverun Echohawk","Shetland Sheepdog",1,,,,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,131
126,"Rowdy",,"English Shepherd",1,,,,,,,,,,,,,,,,,,,,,,,,,,133
127,"Tanner",,"Chihuahua/IG Cross",1,,,,,,,,,,,,,,,,,,,,,,,,,,133
